year,month,day,hour,minute,latitude,longitude,accident_type,fatalities,injuries,road_shape,accident_category,police_station_code,severity_a,severity_b,police_station_name
2023,12,8,11,50,35.781100277777774,139.76522916666667,2,0,1,1,41,668,2,0,西新井
2023,12,8,13,20,35.78579194444444,139.75342388888888,2,0,1,14,41,668,2,0,西新井
2023,12,9,16,52,35.77042972222222,139.7659211111111,2,0,1,14,41,668,2,0,西新井
2023,12,11,16,30,35.77009944444444,139.79763499999999,2,0,1,14,41,668,2,0,西新井
2023,12,13,6,0,35.76504555555555,139.7673138888889,2,0,1,1,21,668,4,2,西新井
2023,12,10,12,36,35.77280777777778,139.78887361111111,2,0,1,14,1,668,4,2,西新井
2023,12,13,12,55,35.785516666666666,139.76329555555554,2,0,1,1,21,668,4,2,西新井
2023,12,13,17,55,35.77815861111111,139.782215,2,0,1,1,21,668,4,2,西新井
2023,12,14,10,35,35.76477305555556,139.78676055555556,2,0,3,14,21,668,2,2,西新井
2023,12,15,18,32,35.77840194444445,139.7928102777778,2,0,1,14,21,668,4,2,西新井
2023,12,15,22,2,35.77991333333333,139.75119972222222,2,0,1,1,41,668,2,0,西新井
2023,12,15,22,45,35.786703055555556,139.79979805555556,2,0,1,1,41,668,2,0,西新井
2023,12,18,7,10,35.785466666666665,139.7859222222222,2,0,1,1,21,668,4,2,西新井
2023,11,4,14,53,35.77807361111111,139.77884611111114,2,0,1,1,21,668,4,2,西新井
2023,12,18,11,38,35.78680388888889,139.76211,2,0,1,1,21,668,4,2,西新井
2023,12,19,8,45,35.774695277777774,139.80318194444445,2,0,1,1,1,668,4,2,西新井
2023,12,19,8,50,35.786671388888884,139.77765583333334,2,0,1,14,41,668,2,0,西新井
2023,12,19,10,55,35.789117499999996,139.76258472222221,2,0,1,1,21,668,4,2,西新井
2023,11,17,11,50,35.76117388888889,139.78986583333332,2,0,1,14,21,668,4,2,西新井
2023,12,19,16,15,35.755698055555555,139.77037305555558,2,0,1,14,41,668,2,0,西新井
2023,12,19,16,50,35.782177222222224,139.8031016666667,2,0,1,14,21,668,4,2,西新井
2023,12,20,21,10,35.78780111111111,139.76128444444444,2,0,1,1,21,668,4,2,西新井
2023,12,11,17,7,35.77848111111111,139.79489805555556,2,0,1,14,21,668,2,4,西新井
2023,12,22,18,50,35.76629777777778,139.7717677777778,2,0,1,1,21,668,4,2,西新井
2023,12,23,23,45,35.792516388888885,139.77,2,0,1,1,41,668,2,0,西新井
2023,10,5,15,25,35.77374888888889,139.803425,2,0,1,1,1,668,4,2,西新井
2023,12,24,16,38,35.77442083333333,139.78649444444443,2,0,1,1,1,668,4,2,西新井
2023,12,25,14,28,35.75754777777778,139.77062944444447,2,0,1,12,21,668,2,0,西新井
2023,12,25,16,2,35.77458194444444,139.76553722222224,2,0,1,1,1,668,4,2,西新井
2023,12,25,17,50,35.778285277777776,139.76044416666667,2,0,1,1,21,668,4,2,西新井
2023,12,25,17,35,35.75505722222222,139.75973944444445,2,0,1,14,41,668,2,0,西新井
2023,12,27,8,10,35.790928055555554,139.75633972222224,2,0,1,1,21,668,4,2,西新井
2023,12,27,8,20,35.76408222222222,139.78680277777778,2,0,1,1,21,668,4,2,西新井
2023,12,27,11,25,35.783986666666664,139.7514461111111,2,0,1,1,21,668,4,2,西新井
2023,12,27,13,30,35.78735444444444,139.78499916666667,2,0,1,14,1,668,4,2,西新井
2023,12,27,21,35,35.77582888888889,139.78501416666666,2,0,1,14,21,668,2,0,西新井
2023,12,28,5,25,35.75873027777778,139.78932,2,0,1,12,21,668,4,2,西新井
2023,12,28,15,5,35.78256944444444,139.769945,2,0,1,11,21,668,2,4,西新井
2023,12,28,16,16,35.77968444444444,139.75558027777777,2,0,1,0,21,668,4,2,西新井
2023,12,30,12,15,35.782089166666665,139.77277805555556,2,0,1,14,41,668,2,0,西新井
2023,12,30,9,45,35.76709944444444,139.77896083333334,2,0,1,0,41,668,2,0,西新井
2023,12,31,12,50,35.77298861111111,139.73963388888887,2,0,1,14,41,668,2,0,西新井
2023,12,31,23,50,35.78292555555556,139.77838083333336,2,0,1,14,41,668,2,0,西新井
2023,12,19,10,10,35.77211944444444,139.82975166666665,2,0,1,1,21,669,4,2,綾瀬
2023,11,10,10,40,35.78008333333333,139.8110391666667,2,0,1,1,41,669,2,0,綾瀬
2023,11,28,8,1,35.78277055555555,139.81537444444444,2,0,1,14,1,669,4,2,綾瀬
2023,12,2,9,0,35.79185472222222,139.83811694444447,2,0,1,1,41,669,2,0,綾瀬
2023,12,1,1,50,35.77788805555556,139.82493027777778,2,0,1,1,21,669,4,2,綾瀬
2023,12,5,10,35,35.7741475,139.82996555555556,2,0,1,1,21,669,4,2,綾瀬
2023,12,5,17,10,35.77787694444444,139.82341138888887,2,0,1,14,21,669,4,2,綾瀬
2023,12,5,17,54,35.777544999999996,139.83055305555555,2,0,1,1,1,669,4,2,綾瀬
2023,12,6,8,30,35.76917666666667,139.82175388888888,2,0,1,1,21,669,4,2,綾瀬
2023,12,6,8,25,35.76853611111111,139.8436291666667,2,0,1,14,41,669,2,0,綾瀬
2023,12,7,8,0,35.77776611111111,139.8363341666667,2,0,1,1,1,669,4,2,綾瀬
2023,12,7,21,49,35.778686111111114,139.81110416666667,2,0,1,1,21,669,4,2,綾瀬
2023,12,8,13,10,35.76460888888889,139.80967944444447,2,0,3,13,21,669,2,2,綾瀬
2023,12,3,15,30,35.782667777777775,139.8038566666667,2,0,1,14,21,669,4,2,綾瀬
2023,12,9,18,10,35.766423333333336,139.813125,2,0,1,14,41,669,2,0,綾瀬
2023,12,10,21,30,35.784464444444446,139.81667916666666,2,0,1,7,41,669,2,0,綾瀬
2023,12,13,13,15,35.785556666666665,139.8219386111111,2,0,1,7,21,669,4,2,綾瀬
2023,12,14,9,29,35.78557472222222,139.81923,2,0,2,1,21,669,2,2,綾瀬
2023,12,14,9,0,35.76114027777778,139.81959805555556,2,0,1,13,41,669,2,0,綾瀬
2023,12,15,9,18,35.77122444444444,139.82970583333332,2,0,1,1,21,669,4,2,綾瀬
2023,12,15,11,48,35.783896666666664,139.826415,2,0,2,14,21,669,4,2,綾瀬
2023,12,15,21,20,35.790414444444444,139.84152500000002,2,0,1,1,21,669,4,2,綾瀬
2023,12,17,12,50,35.776806388888886,139.83509222222224,2,0,1,1,21,669,4,2,綾瀬
2023,12,18,11,23,35.78090972222222,139.81259,2,0,1,1,21,669,2,4,綾瀬
2023,12,18,13,45,35.77039472222222,139.8069788888889,2,0,1,7,1,669,4,2,綾瀬
2023,12,2,1,40,35.77737694444444,139.8336475,2,0,1,1,21,669,4,2,綾瀬
2023,12,1,17,0,35.78268,139.8042602777778,2,0,2,1,21,669,4,2,綾瀬
2023,12,19,19,40,35.772485833333334,139.81241055555557,2,0,1,14,41,669,2,0,綾瀬
2023,12,20,16,40,35.769191388888885,139.8219525,2,0,1,14,41,669,2,0,綾瀬
2023,12,21,9,0,35.778708888888886,139.81566694444444,2,0,1,1,41,669,2,0,綾瀬
2023,12,21,17,18,35.77146805555555,139.85424138888888,2,0,1,1,1,669,4,2,綾瀬
2023,12,21,18,25,35.80033611111111,139.8392575,2,0,1,1,21,669,4,2,綾瀬
2023,12,6,17,45,35.77964722222222,139.80571944444446,2,0,1,1,21,669,4,2,綾瀬
2023,12,22,14,40,35.79642944444444,139.83980805555555,2,0,1,1,21,669,2,4,綾瀬
2023,12,23,11,5,35.77956555555556,139.84145472222224,2,0,1,14,1,669,4,2,綾瀬
2023,12,23,13,15,35.785081388888884,139.82707083333332,2,0,1,0,1,669,4,2,綾瀬
2023,12,24,12,45,35.77392472222222,139.8109475,2,0,1,14,41,669,2,0,綾瀬
2023,12,24,16,35,35.78735861111111,139.8119877777778,2,0,1,1,21,669,4,2,綾瀬
2023,12,16,13,15,35.787405,139.838335,2,0,1,1,21,669,4,2,綾瀬
